 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ N x e4 ]  [ d x e4 ] , [ f3 ]  If I were white 6.Nf3?? would have come into consideration. However I would not have played that on the grounds of 6...[ e x f3 ] 7.[ g x f3 ] losing a piece for a pawn. So I would I even look at a bad move. Well in chess one should always be thinking about a way to develop. That's because it's a good idea to develop all of your pieces early in the game until your left with a Q and both R's.
 [ B x d1 ]  [ K x d1 ] , [ N h5 ]  Despite being far ahead one should still follow the basics and the theory and concepts. Unfortunately this doesn't due to one fact. And as you get more experience it doesn't matter as much but @Erika: Remember that a Knight on the rim is dim. Meaning that it should not be on the endfiles. Otherwise the opponent has more opportunities to attack it whereas there's less room for the N to escape. Plus it makes the N worth less.
 [ d5 ]  [ B f4 ]  [ N f6 ]  [ N f3 ] , [ c5 ]  The correct black move and nearly the only one that doesn't allow white to lead the game.
 [ b3 ] , [ Q f6 ]  Looking for an angle on the other rook.
 [ K f6 ] , [ a4 ]  made a mistake here: I should have pushed [ b4 ] first.
 [ B a3 ]  [ R b1 ] , [ R c5 c1 ]  Finally I start moving my pieces to erode the walls his R's have emplaced around my K.
 [ R x h8 ]  [ R x h8 ] , [ g5 ]  Black cannot play [ f x g5 ] due to Bxh8.
 [ B d2 ]  [ N x d2 ]  [ N x d2 ] , [ N c6 ]  Now my opponent attacks my e pawn
 [ Q b3 ]  [ N e5 ]  [ R a e1 ]  [ R c8 ]  [ Q b4 ] , [ N x g4 ]  Black now has a bishop vs knight game with center control. White's attack has not started.
 [ B x c5 ]  [ b4 ]  [ B b6 ] , [ O-O ]  White's development is almost complete he has a pawn majority (and space) on the Q-side and the [ e4 ] pawn is a little isolated. 11. ... 0-0 simply moves the king away from his minor pieces whilst [ [ d6 ] ] is already looking somewhat weak. Perhaps 10. ... [ B e7 ] controlling [ [ d6 ] ] is better but it looks rather passive and the [ B d7 ] isn't going anywhere.
 [ R h8 ]  [ g x f5 ]  [ g x f5 ] , [ Q x f5 + ]  Obvious continuations.
 [ R c6 ]  [ b x c5 + ]  [ K a6 ]  [ N x f8 ] , [ R x f8 ]  17. ...... [ R x f8 ] - I was reluctant to trade off the knight for the bishop but the knight was untenable on that [ e6 ] square. At least I only have a material deficit of just -1.
 [ B d6 ]  [ c4 ]  [ b x c4 ]  [ B x c4 ] , [ B f7 ]  Now I earned an attacking position. So then why not go with the Queen. But how?
 [ B e6 ] , [ B x e6 ]  to break the pawns shine.
 [ B x f3 ]  [ K x f3 ]  [ K e6 ]  [ h5 ] , [ d5 ]  35. ..... [ [ d5 ] ] - Over the last two moves Henry and my d pawn have formed a dynamic duo to correct the backward pawn scenario. My pawn finally gets to [ [ d5 ] ] and if it is traded off then Henry is beautifully centralised for the endgame.
 [ B e2 ]  [ R d8 ]  [ g4 ] , [ B d3 ]  missing the gravity of the situation Black gets careless: best was [ B c8 ] [ h3 ] [ f6 ] or at least [ h6 ] [ N x f7 ] [ K x f7 ] [ g x f5 ] gxf5...
 [ g6 ]  [ B g5 ]  [ N x e4 ] , [ N x e4 ]  With a weakened king side and poor developement Black tries a counter-attack.
 [ B d6 ] , [ N h2 ]  He moves the knight again!
 [ B e7 ] , [ g3 ]  seemed the next logical move getting ready to 0-0
 [ O-O ] , [ B d2 ]  ?? More pressing is Rd1! Or [ B e3 ] as a second best
 [ b5 ] , [ N e3 ]  Challenging Black's centralized Knight.
 [ K x f6 ]  [ K e3 ] , [ K e5 ]  There's no way for either side to make progress. White would have had some winning chances after other king moves but as it is both sides are locked down and so a draw results.
 [ d3 ]  [ d6 ]  [ B f4 ] , [ N g e7 ]  White has developed all his minor pieces while black has only just developed his second knight but black's pawns are well situated to deny white any real advantage from his speedy development.
 [ N c4 ]  [ R e1 ]  [ K h8 ]  [ R e7 ]  [ K h7 ]  [ f4 ]  [ N a5 ]  [ B g6 + ]  [ K g8 ] , [ B x f5 ]  for the win!
 [ Q x f7 + ]  [ K h8 ] , [ N g6 # ]  
 [ R d8 ]  [ Q e2 ] , [ R d3 ]  I think it was the right way to go on with the attack threatening Re3.
 [ R x e2 ]  [ B d5 ]  [ R c5 ]  [ R x c5 ] , [ b x c5 ]  all forced sequence but i have doubts about the next forced queen move... the candidate moves to chose from: a) [ Q f4 ] attacking [ f7 ] seams not to have much of a future then what black can simply defend the f pawn or even worst force the exchange of queens with [ Q f6 ] (aimed at [ f2 ] thus forcing the exchange) b) [ Q c3 ] to prevent [ R [ b2 ] ] seams the best but also I don't see any long term plan... c) [ Q d3 ] to attack black's rook this seams to me the least relevant one as black has several good alternatives either to back-up his rook in the open e column or move it along the e column to an unattacked square or even the best in my opinion move it to [ b2 ] were threatens [ R b4 ] attacking [ a4 ] and preventing any support from behind to my passed b pawn
 [ N e4 ] , [ R a5 ]  the pawn will fall!
 [ K c7 ] , [ R f7 + ]  !
 [ O-O ] , [ g5 ]  Here come the pawns anyway. This seems to be easier for Black to achieve with the Dutch than with say the King's Indian since Black doesn't have to muck about with his KN to enable his f-pawn to advance. The computer prefers 9...0-0
 [ R b8 + ]  [ K a4 ] , [ R a8 + ]  The game was adjourned again but the crisis has passed.
 [ N x c7 ] , [ R g1 + ]  A petty check that acheives little and only delays the inevitable.
 [ R d8 ] , [ B d4 ]  This puts presure on blacks kingside opens the e-file for my rook(s) and makes way for the knight to come to [ e3 ] to attack the f5-pawn.
 [ N b4 ]  [ Q d2 ]  [ N d3 + ]  [ K f1 ]  [ R a f8 ]  [ K g1 ]  [ N x f2 ]  [ B x f2 ]  [ R f5 x f2 ]  [ Q x f2 ]  [ R x f2 ]  [ K x f2 ]  [ Q e2 + ]  [ K g3 ]  [ Q x e3 + ]  [ K g4 ]  [ B e2 + ]  [ K h4 ] , [ g5 # ]  
 [ B g4 ]  [ N c7 ] , [ R c1 ]  Now if [ N x b5 ] the rook gets an open file all to itself.
 [ R d7 ] , [ h4 ]  39. [ h4 ] - a pawn move - is Freddy threatening [ h5 ] threatening to open up the f or h file. Notice that if he did then gh?? would be suicide as Glenda would be pinned to Henry by a white rook moving to g4.
 [ c x d4 ] , [ B b6 ]  Keeping the pressure on the d-pawn. However it is obvios that White has the edge in this positiion.
 [ N c6 ] , [ B b5 ]  And that's exactly what I wanted so that she would get used to playing against the Ruy Lopez. The moral to this is that you expect the unexpected and that you never know what the opponent is going. So you have to plan ahead and be ready for anything that might come at you. I realize that this is a good way for her to learn this since it is a one on one training sessions. The more she can handle the better she'll become. Right now I am very impressed with the way black is playing.
 [ B x g5 ] , [ e5 ]  19. [ e5 ] - Freddy certainly ain't gonna topple his king here he is trying to counter-attack by going for the throat.
 [ B f4 ] , [ N e8 ]  11. ... [ d6 ] would have been better as White's two bishops will now encounter minimal resistance and Black will have a hard time bringing his rook on [ f8 ] into the game.
 [ Q x d6 + ]  [ Q e7 ] , [ Q x g3 ]  Now the situation is dire for Black. The Queenside pawn majority is strong but the exposed position of the king eventually brings about the end of the game.
 [ N x e5 ] , [ B x e5 ]  threatens [ B x c3 ] winning pawn and further threatening [ B x a1 ]  [ Q d2 ]  [ B x d2 + ]  [ K x d2 ]  [ c3 + ]  [ K e2 ] , [ Q g6 ]  threaten c2. if [ B x c2 ] then [ Q x c2 ] and trouble
 [ N d3 + ]  [ B x d3 ]  [ Q x g2 ] , [ Q h5 + ]  Alternative variation: 18.[ R f1 ] [ Q g3 + ] 19.[ R f2 ] [ Q x d3 ] $19
 [ N x e5 ] , [ f6 ]  if there are two knights in the same raw is a great attack
 [ B e2 ]  [ N f6 ]  [ h3 ]  [ N x e4 ]  [ B f3 ] , [ B c6 ]  how freaked-out is that!
 [ d4 ]  [ d5 ]  [ e3 ]  [ N f6 ]  [ B d3 ]  [ e6 ]  [ N d2 ]  [ c5 ]  [ c3 ]  [ N c6 ] , [ f4 ]  This is the starting position of the mini-tournament; White has adopted the stonewall setup characterised by the pawns on [ c3 ] [ d4 ] [ e3 ] and f4. In this opening White wants to post a knight on [ e5 ] and create a lot of pressure on the kingside.
 [ R e1 ] , [ B b4 ]  Best move although [ h5 ] again could be considered
 [ B x d7 + ] , [ Q x d7 ]  (?!) Probably 7...[ N x d7 ] ought after all to have been preferred here. That knight was to prove hard to get moving subsequently and even then sat out the war on [ a3 ] 'awaiting orders'.
 [ R x f2 ] , [ Q c3 ]  So Q attacks both [ R h1 ] and [ d4 ] pawn.
 [ Q e2 ]  [ B d7 ]  [ Q x e5 ] , [ B x c8 ]  24. [ B x c8 ] - this trade - Fou Lenoir for black's queen rook narrows the deficit down to -2 but vital wood has left the board.
 [ R a e2 ] , [ R e3 x e2 + ]  Now white moves a rook to [ e2 ] and this is taken by black rook.
 [ R x a2 ] , [ K d3 ]  Joann is doing what she can to hang in by advancing the K again. I'm also familiar with this since in an endgame you want to bring the K up. Unfortunately it's too little too late because of Sasha's next move. As this is where she's going to sac her R for B for a passed pawn which she got by taking on a2.
 [ N e4 ]  [ Q b6 ] , [ N g5 ]  With this move I lost in exchange and almost a lost position!!
 [ K d2 ]  [ Q x a2 + ]  [ K d3 ] , [ Q b3 + ]  Although if we were to go to the other side I'd also feel optimistic as white.
 [ a3 ] , [ N c2 ]  ...and again...
 [ N a4 ] , [ B h3 ]  If [ B f1 ] then [ N x f6 ] and Black has too many tactics.
 [ c x d5 ]  [ Q x d5 ] , [ Q c7 ]  Now I have gained my compensation for lost pawn as I can attack whites queenside from open lines with support of my bishops.
 [ h x g4 ]  [ N f6 ]  [ g5 ]  [ N h5 ] , [ B c4 ]  terrible move allows my knights to run wild
 [ B x h2 + ] , [ K x h2 ]  ?? As you might expect I did not look at any possiblities. I was pretty confident though that "To take is a mistake" due to studying similar positions. But in this case I thought that I did not have a good move left. In other words I felt that there was nothing better or anything else to lose. If for example I had played 17.[ K f1 ] (which was my second instinct) black would play 17...Rxd2. So the inference is that I'd lose my Queen one way or another. This kind of thing happens without analyze the board (which is why Wizard Chess is good practice as that doesn't exist.) But had white been more careful and played through a little more I would've seen 18.Nxd2. Despite losing the Queen I'd get a Rook as compensation. At which point resignation would not be an option yet. But by taking as opposed to calculating that Queen is free as we're about to see.
 [ Q e2 ]  [ B d7 ] , [ Q f3 ]  Trying to attack [ f5 ] and protect [ f2 ] from black bishop
 [ Q d1 + ]  [ K h2 ]  [ Q d6 + ]  [ K h1 ] , [ Q f8 ]  making his way to help defend his king.
 [ b x c5 ]  [ R c2 ]  [ R a c7 ]  [ R e c1 ] , [ c4 ]  After this boost I should have a slight advantage but not a huge one
 [ e5 ] , [ B g4 ]  [ g6 ] is not possible because of Qh6. Black is going for Queen exchange.
 [ R x c1 + ] , [ Q x c1 ]  Now [ Q b6 ] is still good.
 [ B e3 ] , [ R g8 ]  Black eyes a sneaky checkmate should the queen leave her defence of the knight. Seems a vain hope now though. Might have been better to get the Queen out in preparation for castling long.
 [ b x c3 ]  [ N e7 ] , [ Q g4 ]  More aggressive than the main alternative [ N f3 ] though the database gives a similar success rate for each move.
 [ N d3 ] , [ R a1 ]  this ends the ride the game was resigned here
 [ B h3 ]  [ K f7 ] , [ R f1 ]  trying to be in the open c file and to be in the powerful attacking position in [ c7 ] after that.
 [ a6 ] , [ N d6 + ]  ??
 [ R d g1 ]  [ B f6 ] , [ f4 ]  An interesting move. Pushing my f-pawn removes a defender from [ g4 ] but is there a reason?
 [ h4 ]  [ B d1 ] , [ g4 ]  Forces white's hand
 [ Q f3 + ]  [ K h4 ] , [ B f2 # ]  A convincing win for the master but I had a good game until my blunder at move 16. Thanks for reading I'd like to receive some comments. Ion thanks for this lesson I hope we can play another game soon.
 [ R d1 ] , [ R d5 ]  And now white goes for it and black denies it. No white rook on the 7th today not now anyway.
 [ N e2 ]  [ N c6 ]  [ B c3 ] , [ a5 ]  Not sure why I did this instead of Nb4. I might have been greedy to try and gain an open a-file and move the a pawn to the b file. Perhaps I was not keen on "demoting" the c pawn to the b file.
 [ e x d5 ] , [ e x d5 ]  By move 5 Black is better because he has opened the lines for both Bishops and the Queen and has develloped a Knight not mencionning the two hanging pawns. White only has one develloped Knight that is hanging in the centre.
 [ R f3 ] , [ Q g2 ]  Black resigned here. Black has a significant material deficit and White can now exchange down into a comfortably won endgame.
 [ K x g7 ] , [ g4 ]  playing [ h5 ] immediately wouldn't help since he can just take the pawn with the knight so playing this move helps white a lot.
 [ b x c3 ]  [ d5 ]  [ e x d5 ]  [ c x d5 ] , [ Q x f6 ]  Another trade which helps me this time we remain equal in material when my opponent could have gained a pawn.
 [ K e7 ]  [ Q x g7 + ]  [ R f7 ] , [ Q g5 + ]  it is over...
 [ h3 ]  [ N h6 ]  [ N h2 ]  [ g6 ]  [ B x h6 ]  [ R x h6 ]  [ f4 ]  [ f5 ]  [ N f3 ]  [ h4 ]  [ e x f5 ]  [ g x f5 ]  [ Q e2 ]  [ Q f6 ] , [ N g5 ]  White has a significant lead in development due to Black spending some extra tempos in the opening. Black's K is also somewhat exposed. There is no cover to be had by castling Kingside and potential castling Queenside is a few moves away.
 [ Q f3 ] , [ R e d6 ]  ?? I just blundered the bishop. Mi opponent though about who ever knows what a hidden trap and didn't take it!
 [ N g5 ] , [ h6 ]  Black is not impressed: [ N x f7 ] is in Blacks' favor...
 [ B x c6 ]  [ B x c6 ] , [ Q a3 ]  ! As I've pointed out the important squares for white to attack are the dark squares with this move white gets good control of the third rank and threatens infiltration to e7.
 [ Q h1 + ]  [ K e2 ] , [ Q x g2 + ]  Now black probably wins but it still to be demostrated. My opponend abandoned the game.
 [ R x e8 ]  [ R x e8 ]  [ R e1 ]  [ R x e1 + ] , [ B x e1 ]  White's strategy has been to exchange pieces hoping that the Q can be constrained.
 [ h5 ]  [ b4 + ] , [ K b2 ]  Starting to look like there is some hope. Though it will be difficult pushing the pawns any further. I should have been thinking about protecting the kingside which I though was lost because of the presence of the knight
 [ K x f4 ]  [ R d6 ]  [ K x e5 ]  [ R x e6 + ]  [ K x e6 ] , [ K x a6 ]  ?? this is pure blunder!
 [ R a4 ] , [ N c4 ]  Complicating the way i like it. Black has to think again how to justify Ra4.
 [ N f8 ] , [ B e3 ]  Black's pieces keep getting in each other's way. [ f8 ] is not a happy square for a knight.
 [ N x e4 ]  [ d x e4 ]  [ N e5 ]  [ B d6 ]  [ N c4 ]  [ B c7 ] , [ Q g4 ]  Threatenin e5-pawn and g7-pawn
 [ R x a2 ]  [ R h7 + ]  [ K d8 ]  [ d6 ] , [ N b5 ]  The threat was [ N f6 ] and Rh8%2B mate.
 [ d6 ]  [ N f4 ]  [ N c6 ]  [ c4 ]  [ B d7 ] , [ N d5 ]  White's knight has found a good post on [ d5 ] while Black catches up on development. The white DSB is poised to control the long diagonal now that black will have a harder time contesting it.
 [ N b7 + ]  [ K d4 ]  [ f x e5 + ]  [ K x e5 ] , [ e x f5 ]  Here probably my losing mistake. Which pawn should I take?
 [ K g2 ] , [ B x g1 ]  Trading my active bishop for white's passive knight was not worth the one pawn I should have won.
 [ R x c3 ] , [ Q x c3 + ]  There are several lines from here all of which are highly in my favor. Either 18.[ K f2 ] [ N e4 + ] 19.[ K f1 ] [ Q d3 + ] 20.[ K e1 ] [ Q d1 # ] (or 20. [ N e2 ] [ Q x e2 + ] 21.[ K g1 ] [ Q d1 + ] 22.[ Q e1 ] Qxe1#) 18. [ B d2 ] [ Q a1 ] 19. [ K f2 ] [ N e4 + ] 20.[ K e3 ] [ N x g3 ] (19.[ B c1 ] would delay it one more move but only changes [ N e4 ] from check to checkmate.) 18. [ K f1 ] [ Q d3 + ] 19. [ K e1 ] [ Q d1 + ] 20.[ K f2 ] [ N e4 # ] (or 19. [ K f2 ] [ N e4 + ] 20. [ K e1 ] Qd1#) or 18.[ K f1 ] [ Q d3 + ] 19. [ N e2 ] [ Q x e2 + ] 20. [ K g1 ] [ Q d1 + ] 21.[ Q e1 ] Qxe1#.
 [ R g x f1 ] , [ B x e5 ]  free pawn.If RXR ill be happy trading down.my pieces are more active
 [ N f3 ]  [ N c6 ]  [ d4 ]  [ c x d4 ]  [ N x d4 ]  [ e5 ]  [ N b5 ]  [ N f6 ]  [ N b1 c3 ]  [ B b4 ]  [ a3 ]  [ B x c3 + ]  [ N x c3 ]  [ d6 ]  [ B g5 ]  [ B e6 ] , [ B e2 ]  The last move from the games database - the real challenge starts here!
 [ N a5 ] , [ B x f7 + ]  I decided to sac the white bishop for a little play on the fact that he could not castle to safety.
 [ g x f6 ] , [ Q h7 # ]  Thanks for watching my annotation. Hope this illustrated to you the power of the pieces. Hope to see you next time! Thanks for watching!
 [ B x b4 ] , [ a x b4 ]  Whites idea now seems to counterattack at my back rank but it is well defended.
 [ K e7 ] , [ N h4 ]  There are a few traps here
 [ N f3 ]  [ Q g3 + ]  [ K h1 ] , [ B x f2 ]  White resigns. The threat is 18... Q-[ R6 ] ch 19 N-[ R2 ] QxN mate. If 18 RxB NxR mate. If 18 B-[ B4 ] QxB White is three Pawns down and has no good way to stop 19... Q-N6.
 [ R x h6 ] , [ Q g7 ]  I figured that was the safest place considering the double attack on the knight.
 [ N c6 ]  [ a3 ] , [ B x c3 + ]  The check buys me the time I need to take care of the threat at [ b7 ]  [ O-O ] , [ K h8 ]  I plan to open up the diagonal and don't want my king there.
 [ Q d2 ] , [ B f5 ]  Adding pieces to the fray threatening the pawn at d3.
 [ R b7 ] , [ h5 ]  I think this is where it starts to go wrong. White will win a straight race so Black needs an alternative strategy. He should probably move his rook to a better position before he starts advancing his pawns.
 [ N x c8 ]  [ R a x c8 ] , [ c3 ]  ? the first mistake?
 [ B e7 ]  [ B c4 ]  [ O-O ]  [ O-O ]  [ B e6 ] , [ Q e2 ]  10.[ B b3 ] may have been better since black sends it there with the text anyways.
 [ N f3 ]  [ R e8 ]  [ N g5 ] , [ B b4 + ]  Wrong move I guess. He should have protected his king.
